label,offered_qps,run,idx,status,wall_s,queue_time_s,ttft_s,total_time_s,output_tps,prompt_tokens,cached_prompt_tokens,generated_tokens,preemptions
continuous,1.0,0,0,200,0.32162337517365813,0.00031,0.10364,0.31984,143.37962,63,48,32,0
continuous,1.0,0,1,200,1.0929702499415725,0.001,0.04916,1.08828,29.83309,64,48,32,0
continuous,1.0,0,2,200,1.0732112498953938,0.01584,0.12632,1.06911,32.8813,61,32,32,0
continuous,1.0,0,3,200,0.784347000066191,0.00772,0.07563,0.76972,44.66313,61,48,32,0
continuous,1.0,0,4,200,0.6534393748734146,0.00042,0.04585,0.63263,52.83096,63,48,32,0
continuous,1.0,0,5,200,0.5944754579104483,0.00827,0.08164,0.58991,60.99056,64,48,32,0
continuous,1.0,0,6,200,0.46530004194937646,0.00138,0.10589,0.44481,91.46725,62,48,32,0
continuous,1.0,0,7,200,0.41166479093953967,0.00083,0.03798,0.40777,83.83217,62,32,32,0
continuous,1.0,0,8,200,0.7525202080141753,0.00076,0.07543,0.74461,46.32532,64,48,32,0
continuous,1.0,0,9,200,0.8876546670217067,0.00197,0.04975,0.88151,37.27034,62,32,32,0
continuous,1.0,0,10,200,0.861687040887773,0.01329,0.06284,0.85456,39.15505,65,48,32,0
continuous,1.0,0,11,200,0.42755274986848235,0.00298,0.07572,0.4229,89.28979,66,32,32,0
continuous,1.0,1,0,200,0.8591268328018486,0.00091,0.05364,0.85701,38.58747,63,48,32,0
continuous,1.0,1,1,200,0.8770959579851478,0.00563,0.08816,0.87468,39.41404,64,48,32,0
continuous,1.0,1,2,200,0.7974610840901732,0.00444,0.07396,0.79494,42.99677,61,32,32,0
continuous,1.0,1,3,200,0.7303898341488093,0.02894,0.10297,0.72613,49.7467,61,48,32,0
continuous,1.0,1,4,200,0.44976725010201335,0.00057,0.0568,0.43391,82.20338,63,48,32,0
continuous,1.0,1,5,200,0.7637906251475215,0.00063,0.05395,0.75287,44.3546,64,48,32,0
continuous,1.0,1,6,200,0.7805490409955382,0.0013,0.05715,0.77143,43.40044,62,48,32,0
continuous,1.0,1,7,200,0.7628693340811878,0.01248,0.06717,0.75731,44.91861,62,32,32,0
continuous,1.0,1,8,200,0.8441626250278205,0.00514,0.08896,0.82594,42.06364,64,48,32,0
continuous,1.0,1,9,200,0.7574390000663698,0.02184,0.11939,0.75312,48.91685,62,32,32,0
continuous,1.0,1,10,200,0.2815996250137687,0.00072,0.04871,0.27302,138.20324,65,48,32,0
continuous,1.0,1,11,200,0.2930628750473261,0.00085,0.06175,0.28903,136.39409,66,32,32,0
continuous,1.0,1,12,200,0.36946733319200575,0.00075,0.05072,0.36564,98.43599,64,48,32,0
continuous,1.0,1,13,200,0.3411990001332015,0.00369,0.05057,0.33816,107.7912,65,48,32,0
continuous,1.0,1,14,200,0.27881300006993115,0.00084,0.05528,0.27452,141.39656,62,32,32,0
continuous,1.0,1,15,200,0.25940533401444554,0.00048,0.03716,0.2536,143.22996,62,48,32,0
continuous,1.0,1,16,200,0.27242137491703033,0.00088,0.04403,0.26849,138.10439,64,48,32,0
continuous,1.0,1,17,200,0.2676802498754114,0.00071,0.04348,0.26418,140.46193,65,48,32,0
continuous,1.0,1,18,200,0.3417772089596838,0.00098,0.05722,0.33553,111.38587,63,48,32,0
continuous,1.0,1,19,200,0.3629706248175353,0.0036,0.04738,0.35523,100.69841,63,32,32,0
continuous,1.0,1,20,200,0.331783999921754,0.00148,0.05142,0.32587,112.95519,65,48,32,0
continuous,1.0,1,21,200,0.2651764170732349,0.00078,0.04032,0.26135,140.25283,63,32,32,0
continuous,1.0,1,22,200,0.2748198329936713,0.00047,0.04705,0.27202,137.79391,65,48,32,0
continuous,1.0,2,0,200,0.25365462503395975,0.0004,0.03561,0.25173,143.43703,63,48,32,0
continuous,1.0,2,1,200,0.7011579170357436,0.00082,0.04811,0.69716,47.76172,64,48,32,0
continuous,1.0,2,2,200,0.688937374856323,0.00756,0.09309,0.68596,52.28766,61,32,32,0
continuous,1.0,2,3,200,0.6858865828253329,0.00224,0.08771,0.68087,52.26244,61,48,32,0
continuous,1.0,2,4,200,0.6380894591566175,0.03171,0.08397,0.63426,56.33368,63,48,32,0
continuous,1.0,2,5,200,0.27102599991485476,0.00094,0.04285,0.26394,140.21886,64,48,32,0
continuous,1.0,2,6,200,1.0066624169703573,0.00087,0.0748,1.00194,33.43639,62,48,32,0
continuous,1.0,2,7,200,1.0191814999561757,0.07404,0.1242,1.0147,34.81197,62,32,32,0
continuous,1.0,2,8,200,0.9211795420851558,0.01102,0.0838,0.91867,37.13143,64,48,32,0
continuous,1.0,2,9,200,0.44250054098665714,0.0006,0.04341,0.43402,79.36234,62,32,32,0
continuous,1.0,2,10,200,0.5436592081096023,0.0008,0.07843,0.5382,67.425,65,48,32,0
