label,offered_qps,run,idx,status,wall_s,queue_time_s,ttft_s,total_time_s,output_tps,prompt_tokens,cached_prompt_tokens,generated_tokens,preemptions
simple-baseline,1.0,0,0,200,0.2887169171590358,0.00073,0.06448,0.28621,139.8148,63,0,32,0
simple-baseline,1.0,0,1,200,0.3749982079025358,0.00098,0.0623,0.36894,101.09347,64,0,32,0
simple-baseline,1.0,0,2,200,0.7424004171043634,0.32674,0.3857,0.72804,90.55354,61,0,32,0
simple-baseline,1.0,0,3,200,0.6597869999241084,0.31855,0.37208,0.65541,109.41627,61,0,32,0
simple-baseline,1.0,0,4,200,0.3475027079693973,0.00072,0.06035,0.33935,111.11481,63,0,32,0
simple-baseline,1.0,0,5,200,0.7740038749761879,0.19856,0.25832,0.77086,60.48326,64,0,32,0
simple-baseline,1.0,0,6,200,0.3655678329523653,0.00347,0.1078,0.34042,133.26813,62,0,32,0
simple-baseline,1.0,0,7,200,0.34898449992761016,0.00836,0.07347,0.33659,117.81741,62,0,32,0
simple-baseline,1.0,0,8,200,0.5317925000563264,0.00844,0.12766,0.49605,84.14999,64,0,32,0
simple-baseline,1.0,0,9,200,0.5909732920117676,0.28177,0.33452,0.57067,131.27009,62,0,32,0
simple-baseline,1.0,0,10,200,0.8437317498028278,0.53644,0.60997,0.83741,136.29831,65,0,32,0
simple-baseline,1.0,0,11,200,0.34056525002233684,0.0014,0.08084,0.31344,133.27568,66,0,32,0
simple-baseline,1.0,1,0,200,0.2760207080282271,0.00061,0.04986,0.2736,138.55623,63,0,32,0
simple-baseline,1.0,1,1,200,0.4662662078626454,0.1791,0.23233,0.46419,133.70144,64,0,32,0
simple-baseline,1.0,1,2,200,0.27176458295434713,0.00026,0.04902,0.27008,140.22737,61,0,32,0
simple-baseline,1.0,1,3,200,0.45296329190023243,0.1664,0.22044,0.45036,134.82518,61,0,32,0
simple-baseline,1.0,1,4,200,0.36856870795600116,0.0007,0.06848,0.363,105.25763,63,0,32,0
simple-baseline,1.0,1,5,200,0.3347213331144303,0.00033,0.0535,0.33226,111.20888,64,0,32,0
simple-baseline,1.0,1,6,200,0.448722125031054,0.10269,0.15649,0.44638,106.93604,62,0,32,0
simple-baseline,1.0,1,7,200,0.30718279210850596,0.00584,0.0595,0.30305,127.28201,62,0,32,0
simple-baseline,1.0,1,8,200,0.3573647919110954,0.00074,0.06374,0.35225,107.44685,64,0,32,0
simple-baseline,1.0,1,9,200,0.5949360830709338,0.24088,0.29921,0.58635,107.96176,62,0,32,0
simple-baseline,1.0,1,10,200,0.35602324991486967,0.00075,0.07318,0.3505,111.78526,65,0,32,0
simple-baseline,1.0,1,11,200,0.3488160839769989,0.00069,0.06975,0.34443,112.85603,66,0,32,0
simple-baseline,1.0,1,12,200,0.35344183281995356,0.00068,0.08103,0.3502,115.16916,64,0,32,0
simple-baseline,1.0,1,13,200,0.560849874978885,0.15654,0.23295,0.55502,96.24989,65,0,32,0
simple-baseline,1.0,1,14,200,0.3627590830437839,0.0018,0.07322,0.35523,109.92157,62,0,32,0
simple-baseline,1.0,1,15,200,0.480348665965721,0.05381,0.10779,0.47584,84.22962,62,0,32,0
simple-baseline,1.0,1,16,200,0.34347279206849635,0.00597,0.06163,0.3258,117.34936,64,0,32,0
simple-baseline,1.0,1,17,200,0.36167666711844504,0.00032,0.07769,0.35753,110.77825,65,0,32,0
simple-baseline,1.0,1,18,200,0.38567670807242393,0.00223,0.07687,0.37486,104.03016,63,0,32,0
simple-baseline,1.0,1,19,200,0.4793864169623703,0.1412,0.19496,0.47623,110.21483,63,0,32,0
simple-baseline,1.0,1,20,200,0.5780932088382542,0.20037,0.27369,0.57284,103.62639,65,0,32,0
simple-baseline,1.0,1,21,200,0.37693041609600186,0.00287,0.06874,0.36504,104.627,63,0,32,0
simple-baseline,1.0,1,22,200,0.38734570797532797,0.00115,0.09468,0.37814,109.36533,65,0,32,0
simple-baseline,1.0,2,0,200,0.34919945802539587,0.0004,0.05054,0.34519,105.20917,63,0,32,0
simple-baseline,1.0,2,1,200,0.34152749995701015,0.00195,0.06075,0.33571,112.74189,64,0,32,0
simple-baseline,1.0,2,2,200,0.5672727080527693,0.28907,0.34244,0.56391,139.9765,61,0,32,0
simple-baseline,1.0,2,3,200,0.8374243329744786,0.55216,0.60562,0.8259,140.73376,61,0,32,0
simple-baseline,1.0,2,4,200,1.0669975830242038,0.7734,0.83043,1.05888,135.69786,63,0,32,0
simple-baseline,1.0,2,5,200,0.4408324579708278,0.15302,0.20687,0.42893,139.59866,64,0,32,0
simple-baseline,1.0,2,6,200,0.3762832081411034,0.00132,0.0797,0.35035,114.5383,62,0,32,0
simple-baseline,1.0,2,7,200,0.7368529580999166,0.35788,0.40931,0.71985,99.82706,62,0,32,0
simple-baseline,1.0,2,8,200,0.9881732920184731,0.6181,0.6712,0.98227,99.65585,64,0,32,0
simple-baseline,1.0,2,9,200,0.34184833406470716,0.00083,0.05594,0.33662,110.44706,62,0,32,0
simple-baseline,1.0,2,10,200,0.49831662490032613,0.00176,0.12658,0.47827,88.14464,65,0,32,0
simple-baseline,1.0,2,11,200,0.8033042920287699,0.12387,0.20148,0.78702,52.94271,66,0,32,0
simple-baseline,1.0,2,12,200,0.3222137081902474,0.04584,0.09549,0.31934,138.48425,64,0,32,0
simple-baseline,1.0,2,13,200,0.415382832987234,0.00031,0.08836,0.40379,98.27724,65,0,32,0
simple-baseline,1.0,2,14,200,0.38608091603964567,0.00085,0.06555,0.37149,101.32503,62,0,32,0
simple-baseline,1.0,2,15,200,0.4436780409887433,0.04884,0.09936,0.43659,91.92633,62,0,32,0
simple-baseline,1.0,2,16,200,0.37336545810103416,0.00333,0.08462,0.35993,112.60015,64,0,32,0
simple-baseline,1.0,2,17,200,0.44902433292008936,0.08695,0.15684,0.44402,107.94401,65,0,32,0
simple-baseline,1.0,2,18,200,0.4617474169936031,0.10288,0.15615,0.45276,104.51715,63,0,32,0
simple-baseline,1.0,2,19,200,0.34917683410458267,0.00095,0.0612,0.34572,108.95545,63,0,32,0
simple-baseline,1.0,2,20,200,0.38599079195410013,0.00072,0.07351,0.38016,101.09473,65,0,32,0
simple-baseline,1.0,2,21,200,0.3704479581210762,0.0018,0.0601,0.35489,105.15862,63,0,32,0
simple-baseline,2.0,0,0,200,0.3457967499271035,0.00063,0.05201,0.34257,106.69113,63,0,32,0
simple-baseline,2.0,0,1,200,0.41834362503141165,0.00281,0.06032,0.40916,88.86706,64,0,32,0
simple-baseline,2.0,0,2,200,0.7253552081529051,0.39686,0.45777,0.72061,117.94264,61,0,32,0
simple-baseline,2.0,0,3,200,0.890037041855976,0.50727,0.56082,0.88198,96.52443,61,0,32,0
simple-baseline,2.0,0,4,200,0.6875991660635918,0.32255,0.37618,0.67902,102.36483,63,0,32,0
simple-baseline,2.0,0,5,200,0.9377035000361502,0.61085,0.66487,0.93255,115.80763,64,0,32,0
simple-baseline,2.0,0,6,200,0.4159959589596838,0.0016,0.08974,0.38878,103.6643,62,0,32,0
simple-baseline,2.0,0,7,200,0.3777333749458194,0.0031,0.06521,0.36659,102.86104,62,0,32,0
simple-baseline,2.0,0,8,200,0.3359055418986827,0.00223,0.05988,0.33049,114.55711,64,0,32,0
simple-baseline,2.0,0,9,200,0.5980818329844624,0.21465,0.27073,0.59102,96.78628,62,0,32,0
simple-baseline,2.0,0,10,200,0.9037805420812219,0.57177,0.64398,0.89533,123.33404,65,0,32,0
simple-baseline,2.0,0,11,200,0.324411666020751,0.02606,0.09934,0.32256,138.87735,66,0,32,0
simple-baseline,2.0,0,12,200,0.36452195909805596,0.00149,0.05833,0.35648,103.97506,64,0,32,0
simple-baseline,2.0,0,13,200,0.3895209999755025,0.00232,0.07751,0.37497,104.21825,65,0,32,0
simple-baseline,2.0,0,14,200,0.3093563748989254,0.0008,0.05578,0.3041,124.83913,62,0,32,0
simple-baseline,2.0,0,15,200,0.3634796671103686,0.00193,0.06426,0.35085,108.16934,62,0,32,0
simple-baseline,2.0,0,16,200,0.3537043749820441,0.01975,0.07282,0.34693,113.09229,64,0,32,0
simple-baseline,2.0,0,17,200,0.6297697089612484,0.31951,0.39013,0.62783,130.41405,65,0,32,0
simple-baseline,2.0,0,18,200,0.37435645796358585,0.00074,0.06206,0.36844,101.18188,63,0,32,0
simple-baseline,2.0,0,19,200,0.36205825000070035,0.00092,0.06587,0.35207,108.31656,63,0,32,0
simple-baseline,2.0,0,20,200,0.5218543750233948,0.12484,0.19483,0.51857,95.75797,65,0,32,0
simple-baseline,2.0,0,21,200,0.2932502080220729,0.00566,0.06285,0.29017,136.37243,63,0,32,0
simple-baseline,2.0,0,22,200,0.5611174579244107,0.22404,0.29558,0.55691,118.62595,65,0,32,0
simple-baseline,2.0,0,23,200,0.627643208950758,0.27061,0.34327,0.62463,110.18057,66,0,32,0
simple-baseline,2.0,0,24,200,0.4560742911417037,0.12773,0.18234,0.45303,114.51889,64,0,32,0
simple-baseline,2.0,0,25,200,0.7222914169542491,0.39634,0.46821,0.71567,125.27467,65,0,32,0
simple-baseline,2.0,0,26,200,1.0575262079946697,0.65747,0.71116,1.0481,92.00464,62,0,32,0
simple-baseline,2.0,0,27,200,0.44643879192881286,0.11134,0.16508,0.43409,115.23437,62,0,32,0
simple-baseline,2.0,0,28,200,0.3709705420769751,0.00064,0.05737,0.36383,101.15409,64,0,32,0
simple-baseline,2.0,0,29,200,0.4482197919860482,0.07857,0.15985,0.44295,109.49964,65,0,32,0
simple-baseline,2.0,0,30,200,0.6720899171195924,0.30755,0.36184,0.66567,102.03027,63,0,32,0
simple-baseline,2.0,0,31,200,0.48460704111494124,0.1189,0.17434,0.47628,102.66872,63,0,32,0
simple-baseline,2.0,1,0,200,0.33020941680297256,0.0004,0.05015,0.32525,112.68382,63,0,32,0
simple-baseline,2.0,1,1,200,0.6236325420904905,0.27656,0.32999,0.61646,108.21415,64,0,32,0
simple-baseline,2.0,1,2,200,0.7235552920028567,0.37945,0.43243,0.71994,107.82185,61,0,32,0
simple-baseline,2.0,1,3,200,1.0394214580301195,0.66983,0.72501,1.03555,99.82359,61,0,32,0
simple-baseline,2.0,1,4,200,0.56391333299689,0.25002,0.30884,0.56084,123.01711,63,0,32,0
simple-baseline,2.0,1,5,200,0.4685478329192847,0.19254,0.24599,0.46585,141.00015,64,0,32,0
simple-baseline,2.0,1,6,200,0.6294328330550343,0.35355,0.40739,0.6276,140.77432,62,0,32,0
simple-baseline,2.0,1,7,200,0.6859300408978015,0.40787,0.46199,0.68402,139.62203,62,0,32,0
simple-baseline,2.0,1,8,200,0.7152525410056114,0.43888,0.49276,0.71336,140.52841,64,0,32,0
simple-baseline,2.0,1,9,200,0.9371862921398133,0.65878,0.71318,0.93537,139.52381,62,0,32,0
simple-baseline,2.0,1,10,200,0.5133252500090748,0.21912,0.29051,0.51148,140.28771,65,0,32,0
simple-baseline,2.0,1,11,200,0.6174340420402586,0.32291,0.39468,0.61553,140.36732,66,0,32,0
simple-baseline,2.0,1,12,200,0.35391958407126367,0.00071,0.06336,0.34929,108.42047,64,0,32,0
simple-baseline,2.0,1,13,200,0.613943292060867,0.25516,0.32538,0.61053,108.71393,65,0,32,0
simple-baseline,2.0,1,14,200,0.34680191706866026,0.00057,0.05454,0.34259,107.61971,62,0,32,0
simple-baseline,2.0,1,15,200,0.5669180830009282,0.19037,0.24393,0.55985,98.12655,62,0,32,0
simple-baseline,2.0,1,16,200,0.6480823329184204,0.29248,0.343,0.64444,102.8396,64,0,32,0
simple-baseline,2.0,1,17,200,0.5648503750562668,0.17788,0.2489,0.56047,99.49422,65,0,32,0
simple-baseline,2.0,1,18,200,0.3634021251928061,0.00067,0.05542,0.35956,101.92487,63,0,32,0
simple-baseline,2.0,1,19,200,0.574684209190309,0.23961,0.29644,0.56941,113.56762,63,0,32,0
simple-baseline,2.0,1,20,200,0.807279875036329,0.4346,0.50839,0.79919,106.60157,65,0,32,0
simple-baseline,2.0,1,21,200,0.743599999928847,0.4285,0.48425,0.74,121.21139,63,0,32,0
simple-baseline,2.0,1,22,200,0.4237820408307016,0.00074,0.07963,0.42007,91.06001,65,0,32,0
simple-baseline,2.0,1,23,200,0.41143337497487664,0.00069,0.08244,0.40746,95.38067,66,0,32,0
simple-baseline,2.0,1,24,200,0.3462279159575701,0.00075,0.05932,0.33931,110.71653,64,0,32,0
simple-baseline,2.0,1,25,200,0.5752727088984102,0.20508,0.2757,0.57074,105.06841,65,0,32,0
simple-baseline,2.0,1,26,200,0.3194119590334594,0.00083,0.06287,0.31449,123.20076,62,0,32,0
simple-baseline,2.0,1,27,200,0.36700587486848235,0.00095,0.07016,0.36085,106.64263,62,0,32,0
simple-baseline,2.0,1,28,200,0.35239612497389317,0.00169,0.05953,0.34546,108.41585,64,0,32,0
simple-baseline,2.0,1,29,200,0.4285226250067353,0.00079,0.08,0.4221,90.6166,65,0,32,0
simple-baseline,2.0,1,30,200,0.37081337510608137,0.00142,0.0622,0.36558,102.18151,63,0,32,0
simple-baseline,2.0,1,31,200,0.3547850411850959,0.00091,0.06009,0.34647,108.24726,63,0,32,0
simple-baseline,2.0,1,32,200,0.3951799999922514,0.00061,0.08176,0.39109,100.21742,65,0,32,0
simple-baseline,2.0,1,33,200,0.3646332500502467,0.00285,0.0684,0.35326,108.82466,63,0,32,0
simple-baseline,2.0,2,0,200,0.35003420803695917,0.0008,0.05201,0.34548,105.63308,63,0,32,0
simple-baseline,2.0,2,1,200,0.5187082500196993,0.13777,0.19194,0.50284,99.71167,64,0,32,0
simple-baseline,2.0,2,2,200,0.8091253750026226,0.48485,0.53867,0.79722,119.89689,61,0,32,0
simple-baseline,2.0,2,3,200,1.163271832978353,0.79737,0.85228,1.15363,102.8717,61,0,32,0
simple-baseline,2.0,2,4,200,1.4176157920155674,1.13049,1.18272,1.41268,134.80566,63,0,32,0
simple-baseline,2.0,2,5,200,1.2399052078835666,0.96411,1.01759,1.23735,141.06522,64,0,32,0
simple-baseline,2.0,2,6,200,0.40230566705577075,0.00255,0.06013,0.39087,93.72881,62,0,32,0
simple-baseline,2.0,2,7,200,0.7403830420225859,0.38797,0.44142,0.72798,108.17738,62,0,32,0
simple-baseline,2.0,2,8,200,1.0204373330343515,0.67946,0.73198,1.01459,109.69028,64,0,32,0
simple-baseline,2.0,2,9,200,0.394656625110656,0.11677,0.17068,0.39171,140.24809,62,0,32,0
simple-baseline,2.0,2,10,200,0.36236999998800457,0.00069,0.07619,0.353,111.99051,65,0,32,0
simple-baseline,2.0,2,11,200,0.47671833308413625,0.17973,0.25161,0.47445,139.11732,66,0,32,0
simple-baseline,2.0,2,12,200,0.3743328331038356,0.0979,0.15176,0.37226,140.5842,64,0,32,0
simple-baseline,2.0,2,13,200,0.3549275000113994,0.00058,0.07768,0.34323,116.74022,65,0,32,0
simple-baseline,2.0,2,14,200,0.35484495805576444,0.01057,0.06452,0.34965,108.72086,62,0,32,0
simple-baseline,2.0,2,15,200,0.5401889579370618,0.18087,0.2338,0.53697,102.25437,62,0,32,0
simple-baseline,2.0,2,16,200,0.3463650830090046,0.00055,0.05649,0.34356,107.99059,64,0,32,0
simple-baseline,2.0,2,17,200,0.538772625150159,0.20157,0.27307,0.5312,120.09449,65,0,32,0
simple-baseline,2.0,2,18,200,0.7296522920951247,0.36602,0.41866,0.72286,101.90734,63,0,32,0
simple-baseline,2.0,2,19,200,0.6927061250898987,0.34021,0.39763,0.6886,106.54227,63,0,32,0
